time,open,high,low,close,VWAP,Upper Band,Lower Band,Middle of Bands,Slow MA,VWAP
2023-01-03T00:00:00+01:00,10957.43,11064.93,10953.05,10967.8,,,,,,
2023-01-03T01:00:00+01:00,10967.8,10968.68,10910.55,10912.3,,,,,,
2023-01-03T02:00:00+01:00,10912.3,10912.93,10867.18,10900.93,,,,,,
2023-01-03T03:00:00+01:00,10900.93,10930.93,10891.18,10925.05,,,,,,
2023-01-03T04:00:00+01:00,10925.05,10950.05,10920.68,10948.43,,,,,,
2023-01-03T05:00:00+01:00,10948.43,10952.55,10936.93,10937.43,,,,,,
2023-01-03T06:00:00+01:00,10937.43,10972.18,10937.3,10965.55,,,,,,
2023-01-03T07:00:00+01:00,10965.55,10979.93,10949.8,10966.3,,,,,,
2023-01-03T08:00:00+01:00,10966.3,11002.93,10949.55,11002.05,,,,,,
2023-01-03T09:00:00+01:00,11002.05,11048.05,10979.93,11042.05,,,,,,
2023-01-03T10:00:00+01:00,11042.05,11082.43,11039.18,11082.43,,,,,,
2023-01-03T11:00:00+01:00,11082.43,11085.93,11037.68,11058.55,,,,,,
2023-01-03T12:00:00+01:00,11058.55,11064.05,10970.68,10993.93,,,,,,
2023-01-03T13:00:00+01:00,10993.93,11023.05,10968.18,11012.55,,,,,,
2023-01-03T14:00:00+01:00,11012.55,11042.43,10977.18,11031.55,,,,,,
2023-01-03T15:00:00+01:00,11031.55,11096.55,10906.55,10909.43,,,,,,
2023-01-03T16:00:00+01:00,10909.43,10931.43,10829.05,10894,,,,,,
2023-01-03T17:00:00+01:00,10894,10905.13,10777.88,10792.25,,,,,,
2023-01-03T18:00:00+01:00,10792.25,10826.75,10765.13,10790.25,,,,,,
2023-01-03T19:00:00+01:00,10790.25,10838.38,10771.5,10833.88,,,,,,
2023-01-03T20:00:00+01:00,10833.88,10882.13,10789.88,10856.63,,,,,,
2023-01-03T21:00:00+01:00,10856.63,10891.5,10846.63,10862.63,,,,,,
2023-01-03T22:00:00+01:00,10862.63,10866.25,10840.75,10860.75,,,,,42.536399512236585,
2023-01-03T23:00:00+01:00,10860.75,10860.88,10860.75,10860.88,,,,,42.48315142222536,
2023-01-04T00:00:00+01:00,10860.88,10867.25,10837.75,10866.63,,,,,42.7551719480006,
2023-01-04T01:00:00+01:00,10866.63,10880.63,10863.5,10867.63,,,,,43.06949027059204,
2023-01-04T02:00:00+01:00,10867.63,10902.5,10866,10895.25,,,,,44.44477270268865,
2023-01-04T03:00:00+01:00,10895.25,10901.13,10874.75,10875.38,,,,,44.99272232285939,
2023-01-04T04:00:00+01:00,10875.38,10892.13,10870.5,10883.13,,,,,44.597079595674955,
2023-01-04T05:00:00+01:00,10883.13,10901.13,10881.13,10900.88,,,,,45.86137882128532,
2023-01-04T06:00:00+01:00,10900.88,10905,10886.5,10895.38,,,,,46.501153841863314,
2023-01-04T07:00:00+01:00,10895.38,10901.25,10882.88,10900.13,,,,,46.50908515926365,
2023-01-04T08:00:00+01:00,10900.13,10921.13,10894.5,10914.88,,,,,47.53824216458962,
2023-01-04T09:00:00+01:00,10914.88,10968.63,10912.13,10937,,,,,49.45861785724137,
2023-01-04T10:00:00+01:00,10937,10941.13,10912,10921.25,,,,,49.7908446566246,
2023-01-04T11:00:00+01:00,10921.25,10941.88,10890.25,10912.63,,,,,48.541684088054566,
2023-01-04T12:00:00+01:00,10912.63,10945.75,10910.88,10928.13,,,,,48.954163593785296,
2023-01-04T13:00:00+01:00,10928.13,10929.63,10890.38,10908.63,,,,,48.77066007270501,
2023-01-04T14:00:00+01:00,10908.63,10965.25,10904.88,10942.25,,,,,49.565723352046184,
2023-01-04T15:00:00+01:00,10942.25,10963.63,10872.38,10899.38,,,,,49.19257012970376,
2023-01-04T16:00:00+01:00,10899.38,10934.63,10781,10880.13,,,,,46.07339875832011,
2023-01-04T17:00:00+01:00,10880.13,10983.63,10857.75,10962.63,,,,,49.2436568339645,
2023-01-04T18:00:00+01:00,10962.63,10975.25,10919.25,10919.5,,,,,51.312387834815304,
2023-01-04T19:00:00+01:00,10919.5,10961.25,10892.38,10930.88,,,,,49.81713919927846,
2023-01-04T20:00:00+01:00,10930.88,10979.38,10817.88,10909.75,,,,,49.369412198505835,
2023-01-04T21:00:00+01:00,10909.75,10937.38,10822.5,10912.75,,,,,48.548780497486234,
2023-01-04T22:00:00+01:00,10912.75,10920.63,10889.25,10899.5,,,,,48.068890864948344,
2023-01-05T00:00:00+01:00,10899.5,10920.7,10899.5,10911.58,,,,,48.07412803047356,
2023-01-05T01:00:00+01:00,10911.58,10914.7,10897.45,10897.58,,,,,48.013672060539704,
2023-01-05T02:00:00+01:00,10897.58,10911.45,10891.95,10895.58,,,,,47.22055380952086,
2023-01-05T03:00:00+01:00,10895.58,10896.83,10850.33,10868.95,,,,,45.7992762031416,
2023-01-05T04:00:00+01:00,10868.95,10878.95,10858.33,10868.7,,,,,44.46622406590073,
2023-01-05T05:00:00+01:00,10868.7,10902.83,10868.33,10898.95,,,,,46.2749634380356,
2023-01-05T06:00:00+01:00,10898.95,10905.45,10890.83,10898.2,,,,,48.055006969432,
2023-01-05T07:00:00+01:00,10898.2,10908.45,10868.58,10868.58,,51.244831754539504,42.64047930519554,46.94265552986752,46.429591281931664,
2023-01-05T08:00:00+01:00,10868.58,10884.58,10858.33,10867.58,,51.17898157865487,42.8325085641342,47.005745071394536,44.792816663720345,
2023-01-05T09:00:00+01:00,10867.58,10891.45,10847.2,10878.08,,51.09621301587992,43.12995237340238,47.11308269464115,45.43366131338816,
2023-01-05T10:00:00+01:00,10878.08,10899.95,10860.83,10899.58,,51.09153577028366,43.510811125069345,47.301173447676504,47.50543381901879,
2023-01-05T11:00:00+01:00,10899.58,10931.7,10892.83,10918.83,,51.28327539442761,43.80196145468448,47.542618424556046,50.05727935655384,
2023-01-05T12:00:00+01:00,10918.83,10955.7,10918.83,10940.08,,51.74550366450437,43.96189926658518,47.85370146554477,52.46246657435256,
2023-01-05T13:00:00+01:00,10940.08,10961.83,10919.95,10923.7,,52.000653260775316,44.048698699444465,48.02467598010989,52.639751147104,
2023-01-05T14:00:00+01:00,10923.7,10936.33,10829.2,10844.95,,52.06399778124863,43.91681925697395,47.99040851911129,47.31674223349024,
2023-01-05T15:00:00+01:00,10844.95,10845.2,10730.7,10783.7,,52.63998415729576,42.92568216150855,47.78283315940215,40.48575164364341,
2023-01-05T16:00:00+01:00,10783.7,10842.95,10760.25,10767,,53.212775625327964,41.76060004767889,47.48668783650343,37.29812721695164,
2023-01-05T17:00:00+01:00,10767,10809.63,10755.75,10778.75,,53.509943537436335,40.988037996187266,47.2489907668118,37.425833167827435,
2023-01-05T18:00:00+01:00,10778.75,10809.75,10758.88,10760.75,,53.840889376131244,40.069710703252085,46.955300039691664,37.475492613463686,
2023-01-05T19:00:00+01:00,10760.75,10837.88,10745.88,10798.13,,53.788005394551895,39.71988916678206,46.75394728066698,39.12250290012746,
2023-01-05T20:00:00+01:00,10798.13,10837.5,10783.63,10803.13,,53.56445152576162,39.442184770457125,46.50331814810937,41.77492570034247,
2023-01-05T21:00:00+01:00,10803.13,10803.88,10730.13,10744.88,,53.612950963029995,38.70973001210705,46.16134048756852,39.716529173950946,
2023-01-05T22:00:00+01:00,10744.88,10764.63,10741.5,10762.25,,53.55676599335592,38.25895261335547,45.90785930335569,38.41888372724193,
2023-01-06T00:00:00+01:00,10762.25,10772.25,10755.25,10764.5,,53.35939795090712,37.86526984607107,45.6123338984891,39.621051579435004,
2023-01-06T01:00:00+01:00,10764.5,10777.5,10763.75,10775.88,,53.23519822591094,37.60486868265877,45.420033454284855,40.47762063850074,
2023-01-06T02:00:00+01:00,10775.88,10793,10771.63,10788.88,,52.82791302246111,37.5080756981048,45.167994360282954,42.011951202541745,
2023-01-06T03:00:00+01:00,10788.88,10793.38,10786.75,10790.38,,52.715473360734784,37.387190724228596,45.05133204248169,42.92464612905002,
2023-01-06T04:00:00+01:00,10790.38,10809.75,10789.25,10794.5,,52.67925285747375,37.32968952281808,45.004471190145914,43.29350486599044,
2023-01-06T05:00:00+01:00,10794.5,10803.5,10789.25,10799.38,,52.046072262920106,37.42777985992777,44.73692606142394,43.89875515598266,
2023-01-06T06:00:00+01:00,10799.38,10799.63,10768.5,10773.88,,51.752545183983734,37.26539291007379,44.508969047028764,42.888851401823864,
2023-01-06T07:00:00+01:00,10773.88,10781.38,10768.5,10774.5,,51.34648862489413,37.159686118396316,44.25308737164522,41.59188147304021,
2023-01-06T08:00:00+01:00,10774.5,10789,10742.75,10744.75,,51.12189806407508,36.80926152197259,43.965579793023835,40.13179488042193,
2023-01-06T09:00:00+01:00,10744.75,10760.38,10737,10753.25,,50.81899996112072,36.59649601521506,43.70774798816789,39.27801097837172,
2023-01-06T10:00:00+01:00,10753.25,10754,10703.5,10728.38,,50.64362334492909,36.186142553127034,43.41488294902806,38.707044517020336,
2023-01-06T11:00:00+01:00,10728.38,10747.75,10714.75,10715.75,,50.37455857734308,35.72538811446016,43.04997334590162,36.89195911194706,
2023-01-06T12:00:00+01:00,10715.75,10738,10707.88,10717.25,,50.16530729254876,35.30102025277401,42.733163772661385,36.4244460623063,
2023-01-06T13:00:00+01:00,10717.25,10731.88,10704,10719.88,,49.92232970248383,34.948996131950246,42.43566291721704,36.77727652188296,
2023-01-06T14:00:00+01:00,10719.88,10893.63,10676.38,10868.38,,51.0889477851198,34.44901840329342,42.76898309420661,46.4082046694104,
2023-01-06T15:00:00+01:00,10868.38,10875.5,10692.13,10739.88,,51.06550276505867,34.44004726799771,42.75277501652819,49.857129754190254,
2023-01-06T16:00:00+01:00,10739.88,10921.65,10739.5,10907.9,,52.03310404636717,33.97343594945576,43.00326999791147,50.257840801018006,
2023-01-06T17:00:00+01:00,10907.9,10965.78,10892.53,10946.15,,53.25478466068319,33.388686516923364,43.32173558880328,57.72733669810849,
2023-01-06T18:00:00+01:00,10946.15,10961.4,10920.15,10935.4,,54.413297296935006,33.0018171212898,43.7075572091124,58.40247387234757,
2023-01-06T19:00:00+01:00,10935.4,10997.65,10930.9,10994.65,,55.93250998070612,32.45712045575903,44.19481521823258,59.635170364018414,
2023-01-06T20:00:00+01:00,10994.65,11071.53,10992.65,11061.15,,57.733652816441904,31.744035543346765,44.738844179894336,62.96553981668103,
2023-01-06T21:00:00+01:00,11061.15,11088.03,11029.03,11038.28,,58.998214509470884,31.2912147677021,45.14471463858649,63.6537239650352,
2023-01-06T22:00:00+01:00,11038.28,11042.15,11016.28,11030.78,,59.98164020209047,30.94377071347487,45.46270545778267,62.362921080655425,
