,time,open,high,low,close,VWAP,Upper Band,Lower Band,Middle of Bands,Slow MA,VWAP.1
0,2019-01-02T00:00:00+01:00,6335.7,6366.3,6331.6,6359.7,,,,,,
1,2019-01-02T01:00:00+01:00,6359.6,6371.2,6356.9,6364.8,,,,,,
2,2019-01-02T02:00:00+01:00,6364.9,6371.1,6330.3,6332.1,,,,,,
3,2019-01-02T03:00:00+01:00,6332.2,6333.9,6279.4,6293.4,,,,,,
4,2019-01-02T04:00:00+01:00,6293.3,6294.9,6281.3,6290.3,,,,,,
5,2019-01-02T05:00:00+01:00,6290.4,6292.1,6245.9,6263.6,,,,,,
6,2019-01-02T06:00:00+01:00,6263.4,6272.7,6241.3,6245.7,,,,,,
7,2019-01-02T07:00:00+01:00,6245.7,6263.6,6245.3,6254.3,,,,,,
8,2019-01-02T08:00:00+01:00,6254.4,6262.3,6234.1,6238.7,,,,,,
9,2019-01-02T09:00:00+01:00,6238.6,6239.6,6141.1,6160.3,,,,,,
10,2019-01-02T10:00:00+01:00,6159.9,6187.9,6158.3,6182.2,,,,,,
11,2019-01-02T11:00:00+01:00,6182.7,6200.9,6167.2,6172.8,,,,,,
12,2019-01-02T12:00:00+01:00,6172.9,6191.1,6168.9,6184.3,,,,,,
13,2019-01-02T13:00:00+01:00,6184.6,6211.8,6181.9,6183.6,,,,,,
14,2019-01-02T14:00:00+01:00,6182.3,6198.8,6172.9,6179.3,,,,,,
15,2019-01-02T15:00:00+01:00,6179.9,6256.6,6178.6,6249.2,,,,,,
16,2019-01-02T16:00:00+01:00,6249.3,6326.4,6229.1,6316.5,,,,,,
17,2019-01-02T17:00:00+01:00,6316.2,6357.6,6307.9,6312.5,,,,,,
18,2019-01-02T18:00:00+01:00,6312.6,6367.5,6307.2,6362.0,,,,,,
19,2019-01-02T19:00:00+01:00,6361.5,6398.1,6361.5,6396.5,,,,,,
20,2019-01-02T20:00:00+01:00,6396.1,6397.0,6358.2,6362.1,,,,,,
21,2019-01-02T21:00:00+01:00,6361.6,6371.5,6319.3,6360.6,,,,,,
22,2019-01-02T22:00:00+01:00,6361.4,6366.8,6239.3,6251.1,,,,,45.65905264344789,
23,2019-01-03T00:00:00+01:00,6222.8,6231.3,6195.6,6206.8,,,,,39.794603994538214,
24,2019-01-03T01:00:00+01:00,6207.3,6224.1,6206.0,6213.5,,,,,38.693110200364586,
25,2019-01-03T02:00:00+01:00,6213.4,6238.6,6210.0,6234.7,,,,,40.1027416009365,
26,2019-01-03T03:00:00+01:00,6234.9,6240.9,6218.1,6220.1,,,,,40.66401952408077,
27,2019-01-03T04:00:00+01:00,6219.9,6223.0,6208.9,6219.6,,,,,40.13579060912284,
28,2019-01-03T05:00:00+01:00,6219.4,6223.5,6210.7,6220.4,,,,,40.16264168156371,
29,2019-01-03T06:00:00+01:00,6220.1,6223.4,6191.2,6198.9,,,,,39.394114698936846,
30,2019-01-03T07:00:00+01:00,6199.0,6201.1,6176.2,6196.7,,,,,38.497375474228114,
31,2019-01-03T08:00:00+01:00,6196.6,6219.2,6196.6,6199.1,,,,,38.56578394200365,
32,2019-01-03T09:00:00+01:00,6198.7,6210.1,6184.0,6190.6,,,,,38.3689699794851,
33,2019-01-03T10:00:00+01:00,6190.9,6204.9,6184.1,6185.6,,,,,37.8110983125244,
34,2019-01-03T11:00:00+01:00,6185.7,6200.6,6176.0,6185.9,,,,,37.62354142397113,
35,2019-01-03T12:00:00+01:00,6186.4,6198.7,6180.4,6193.9,,,,,38.23836081578263,
36,2019-01-03T13:00:00+01:00,6193.2,6233.9,6192.6,6233.9,,,,,41.6091925391966,
37,2019-01-03T14:00:00+01:00,6234.0,6259.6,6226.6,6256.2,,,,,45.79047839041189,
